id,song_name,level,level_index,score,rating,over_power,clear,full_combo,full_chain,rank,upload_time,play_time
670,GERBERA,14+,3,988026,15.12104,75.6052,clear,,,s,2024-02-20 10:01:05,
807,BlythE,14,3,996856,14.97424,74.8712,clear,,,sp,2024-02-20 10:01:05,
1065,"Athlete Killer ""Meteor""",14,3,992987,14.71948,73.5974,clear,,,sp,2024-02-20 10:01:05,
1059,"Good bye, Merry-Go-Round.",14+,3,981878,14.87512,74.3756,clear,,,s,2024-02-20 10:01:05,
2067,Echoes,13+,3,998654,14.64616,73.2308,clear,,,sp,2024-02-20 10:01:05,
2036,CHAOS,13+,3,991975,14.479,72.395,clear,,,sp,2024-02-20 10:01:05,
2125,カラッポ・ノンフィクション,13,3,996745,14.2698,71.349,clear,,,sp,2024-02-20 10:01:05,
2187,タイムカプセル,12+,3,1002899,14.1899,70.9495,clear,,,ss,2024-02-20 10:01:05,
870,magnet,11+,3,1007158,13.4316,67.158,clear,,,ssp,2024-02-20 10:01:05,
343,Daydream café,11,3,1003921,12.7921,63.9605,clear,,,ss,2024-02-20 10:01:05,
2208,Reverberate,15,3,571907,1.222419,6.112095,failed,,,c,2024-02-20 10:01:06,2024-02-20 06:19:00
981,小悪魔の遊園地,15,3,995423,15.91692,79.5846,clear,,,sp,2024-02-20 10:01:06,2024-02-20 06:09:00
464,World Vanquisher,15+,3,978593,15.64372,78.2186,failed,,,s,2024-02-20 10:01:06,2024-02-20 05:59:00
2089,Love & Justice,15,3,993302,15.83208,79.1604,clear,,,sp,2024-02-20 10:01:06,2024-02-20 05:37:00
101,Tango Rouge,14+,3,996832,15.37328,76.8664,failed,,,sp,2024-02-20 10:01:06,2024-02-20 05:26:00
2067,Echoes,13+,3,998654,14.64616,73.2308,clear,,,sp,2024-02-20 10:01:06,2024-02-18 08:39:00
2208,Reverberate,15,3,1002144,16.4144,82.072,clear,,,ss,2024-02-20 10:01:06,2024-02-18 08:27:00
2140,ピアノ協奏曲第１番”蠍火”,15+,3,969098,15.14588,75.7294,clear,,,aaa,2024-02-20 10:01:06,2024-02-18 08:07:00
2161,POTENTIAL,15,3,984850,15.694,78.47,clear,,,s,2024-02-20 10:01:06,2024-02-18 07:57:00
618,業 -善なる神とこの世の悪について-,14,2,1004110,15.611,78.055,clear,,,ss,2024-02-20 10:01:06,2024-02-18 06:57:00
618,業 -善なる神とこの世の悪について-,15+,3,984580,15.9832,79.916,failed,,,s,2024-02-24 10:30:23,
938,Therapeutic Hoedown,14,3,995825,15.233,76.165,clear,,,sp,2024-02-24 10:30:23,
551,Sparking Revolver,14+,3,572713,1.17552683333333,5.87763416666667,failed,,,c,2024-02-24 10:30:24,2024-02-24 10:02:00
409,Finite,15,3,998322,16.13288,80.6644,clear,,,sp,2024-02-24 10:30:24,2024-02-24 09:53:00
1033,《本能》 ～ ReCoda,14+,3,565948,1.055168,5.27584,failed,,,c,2024-02-24 10:30:24,2024-02-24 09:32:00
625,volcanic,14,3,824108,5.833076,29.16538,failed,,,bbb,2024-02-24 10:30:24,2024-02-24 09:02:00
893,Giselle,15,3,1001956,16.2956,81.478,clear,,,ss,2024-02-24 10:30:24,2024-02-20 06:12:00
2089,Love & Justice,15,3,1000773,16.1773,80.8865,clear,,,ss,2024-02-24 10:30:24,2024-02-20 06:02:00
982,The Metaverse -First story of the SeelischTact-,15+,3,985611,16.12444,80.6222,failed,,,s,2024-02-24 10:30:24,2024-02-20 05:51:00
972,宿星審判,15,3,987472,15.89888,79.4944,clear,,,s,2024-02-24 10:30:24,2024-02-20 05:40:00
2056,Blazing Break,13+,3,999473,14.57892,72.8946,clear,,,sp,2024-02-24 10:30:24,2024-02-20 05:19:00
2184,ENDYMION,14+,2,1005567,16.1134,80.567,clear,,,ssp,2024-02-24 10:30:24,2024-02-18 08:59:00
409,Finite,15,3,998322,16.13288,80.6644,clear,,,sp,2024-02-24 10:30:23,
328,★LittlE HearTs★,15,3,992349,15.89396,79.4698,clear,,,sp,2024-02-24 10:30:23,
918,《破滅》 ～ Rhapsody for The End,15,3,988118,15.72472,78.6236,failed,,,s,2024-02-24 10:30:23,
551,Sparking Revolver,14+,3,572713,1.17552683333333,5.87763416666667,failed,,,c,2024-02-24 10:30:23,
618,業 -善なる神とこの世の悪について-,15+,3,984400,15.976,79.88,failed,,,s,2024-02-24 10:30:24,2024-02-24 10:14:00
938,Therapeutic Hoedown,14,3,995825,15.233,76.165,clear,,,sp,2024-02-24 10:30:24,2024-02-24 09:47:00
465,macrocosmos,15,3,985066,15.80264,79.0132,failed,,,s,2024-02-24 10:30:24,2024-02-24 09:16:00
465,macrocosmos,15,3,812800,5.8656,29.328,failed,,,bbb,2024-02-24 10:30:24,2024-02-24 08:55:00
628,サドマミホリック,14,3,1003098,15.5098,77.549,clear,,,ss,2024-02-24 10:30:24,2024-02-20 06:16:00
101,Tango Rouge,14+,3,1001633,15.6633,78.3165,clear,,,ss,2024-02-24 10:30:24,2024-02-20 05:34:00
1065,"Athlete Killer ""Meteor""",14,3,992987,14.71948,73.5974,clear,,,sp,2024-02-24 10:30:24,2024-02-20 05:22:00
465,macrocosmos,15,3,986434,15.85736,79.2868,failed,,,s,2024-02-24 10:30:23,
159,ジングルベル,14+,3,1000311,15.6311,78.1555,clear,,,ss,2024-02-24 10:30:23,
51,My First Phone,14,3,1002179,15.2179,76.0895,clear,,,ss,2024-02-24 10:30:23,
1035,赤壁、大炎上！！,15,3,978086,15.22344,76.1172,failed,,,s,2024-02-24 10:30:24,2024-02-24 10:00:00
918,《破滅》 ～ Rhapsody for The End,15,3,988118,15.72472,78.6236,failed,,,s,2024-02-24 10:30:24,2024-02-24 09:30:00
328,★LittlE HearTs★,15,3,992349,15.89396,79.4698,clear,,,sp,2024-02-24 10:30:24,2024-02-24 09:20:00
2208,Reverberate,15,3,571907,1.222419,6.112095,failed,,,c,2024-02-24 10:30:24,2024-02-20 06:19:00
981,小悪魔の遊園地,15,3,995423,15.91692,79.5846,clear,,,sp,2024-02-24 10:30:24,2024-02-20 06:09:00
2089,Love & Justice,15,3,993302,15.83208,79.1604,clear,,,sp,2024-02-24 10:30:24,2024-02-20 05:37:00
101,Tango Rouge,14+,3,996832,15.37328,76.8664,failed,,,sp,2024-02-24 10:30:24,2024-02-20 05:26:00
2184,ENDYMION,14+,2,1007058,16.4116,82.058,clear,,,ssp,2024-03-01 05:35:37,
618,業 -善なる神とこの世の悪について-,15+,3,987508,16.10032,80.5016,failed,,,s,2024-03-01 05:35:37,
2184,ENDYMION,14+,2,1007058,16.4116,82.058,clear,,,ssp,2024-03-01 05:35:37,2024-03-01 05:30:00
180,怒槌,15,3,992203,16.08812,80.4406,failed,,,sp,2024-03-01 05:35:37,2024-02-24 10:18:00
1035,赤壁、大炎上！！,15,3,978086,15.22344,76.1172,failed,,,s,2024-03-01 05:35:37,2024-02-24 10:00:00
219,玩具狂奏曲 -終焉-,15,3,983057,15.62228,78.1114,failed,,,s,2024-03-01 05:35:37,2024-02-24 09:40:00
918,《破滅》 ～ Rhapsody for The End,15,3,988118,15.72472,78.6236,failed,,,s,2024-03-01 05:35:37,2024-02-24 09:30:00
465,macrocosmos,15,3,976820,15.4728,77.364,failed,,,s,2024-03-01 05:35:37,2024-02-24 08:59:00
2208,Reverberate,15,3,571907,1.222419,6.112095,failed,,,c,2024-03-01 05:35:37,2024-02-20 06:19:00
981,小悪魔の遊園地,15,3,995423,15.91692,79.5846,clear,,,sp,2024-03-01 05:35:37,2024-02-20 06:09:00
