id,song_name,level,level_index,achievements,fc,fs,dx_score,dx_rating,rate,song_type,upload_time,play_time
1529,ツムギボシ,13+,3,71.1661,,sync,1897,110.79138448,bb,dx,2024-06-16 05:59:28,2024-06-16 04:28:00
1529,ツムギボシ,13+,3,100.679,,sync,2725,312.9168,sssp,dx,2024-06-16 05:59:28,2024-06-16 04:48:00
1530,VeRForTe αRtE:VEiN,14+,3,98.8988,,,2703,297.13155472,sp,dx,2024-06-14 07:48:56,2024-06-12 03:40:00
1530,VeRForTe αRtE:VEiN,14+,3,97.8198,,,2693,289.546608,s,dx,2024-06-14 07:48:56,2024-06-12 02:53:00
1530,VeRForTe αRtE:VEiN,14+,3,97.9531,,,2717,289.941176,s,dx,2024-06-14 07:48:56,2024-06-12 01:48:00
1530,VeRForTe αRtE:VEiN,14+,3,98.7678,,,2733,296.73797832,sp,dx,2024-06-14 07:48:56,2024-06-12 01:57:00
1564,リスペク風神,13+,3,100.6879,fc,sync,2384,308.4144,sssp,dx,2024-06-14 07:48:57,
1560,阿修羅ちゃん,13,3,99.9195,,sync,1934,278.2957914,ssp,dx,2024-06-18 09:23:30,2024-06-17 12:25:00
1560,阿修羅ちゃん,13,3,100.073,,sync,1949,285.3281376,sss,dx,2024-06-18 09:23:30,2024-06-18 02:50:00
1560,阿修羅ちゃん,13,3,100.3613,,sync,1970,286.15013856,sss,dx,2024-06-18 09:23:30,2024-06-18 02:57:00
1561,おとせサンダー,13+,4,100.5636,,sync,2657,308.4144,sssp,dx,2024-06-14 07:48:57,
1562,ロウワー,13,4,99.5869,,sync,1974,283.67328465,ssp,dx,2024-06-16 05:59:28,2024-06-16 04:55:00
1563,キャットラビング,12+,3,100.7985,fc,fsp,1785,288.1536,sssp,dx,2024-06-14 07:48:57,
1576,Cthugha,14,3,100.0227,,sync,3202,306.78962544,sss,dx,2024-06-16 14:39:52,2024-06-16 08:01:00
837,Altale,12,2,100.6622,fc,fsp,1125,279.1488,sssp,standard,2024-07-11 16:01:23,2024-07-11 05:32:00
1587,Halfway(>∀<),13+,3,100.7499,,sync,2545,308.4144,sssp,dx,2024-07-24 17:01:17,2024-07-24 14:51:00
1587,Halfway(>∀<),13+,3,100.5522,,sync,2517,308.4144,sssp,dx,2024-07-24 17:01:17,2024-07-24 14:48:00
446,GEMINI -M-,13+,3,100.2507,,,2790,300.99270168,sss,standard,2024-02-20 11:19:48,
837,Altale,13+,3,100.6447,fc,fsp,1292,308.4144,sssp,standard,2024-02-20 11:19:48,
448,ありふれたせかいせいふく,13+,3,99.7404,,,2344,286.21505184,ssp,standard,2024-02-20 11:19:48,
1568,INTERNET OVERDOSE,13,3,100.4761,,,2265,292.9883076,sss,dx,2024-02-20 11:19:48,
1568,INTERNET OVERDOSE,13,3,100.9603,fc,sync,2346,303.912,sssp,dx,2024-06-29 12:31:48,2024-06-22 05:13:00
778,Conquista Ciela,12+,3,99.8299,fc,,1597,267.51418303,ssp,standard,2024-02-20 11:19:48,
1573,Final Step!,13+,3,100.5972,,,2354,310.6656,sssp,dx,2024-06-14 07:48:57,
58,Endless World,13,3,100.1956,fc,,1055,281.3492448,sss,standard,2024-02-20 11:19:48,
66,ワールズエンド・ダンスホール,13,3,100.5568,fc,,1244,292.656,sssp,standard,2024-02-20 11:19:48,
110,Quartet Theme [Reborn],13,3,100.0625,,,1297,280.9755,sss,standard,2024-02-20 11:19:48,
146,39,13,3,100.6674,fc,,1384,292.656,sssp,standard,2024-02-20 11:19:48,
199,チルノのパーフェクトさんすう教室,13,3,99.913,,,1361,280.3858519,ssp,standard,2024-02-20 11:19:48,
302,ケロ⑨destiny,13,3,99.7057,fc,,1605,273.4927351,ssp,standard,2024-02-20 11:19:48,
360,物凄い勢いでけーねが物凄いうた,13,3,98.6617,,,1536,268.37955634,sp,standard,2024-02-20 11:19:48,
507,キミノヨゾラ哨戒班,13,3,100.3776,,,1984,281.8603008,sss,standard,2024-02-20 11:19:48,
789,ネ！コ！,12+,3,100.3557,fc,,1657,279.63112248,sss,standard,2024-02-20 11:19:48,
1125,クレイジー・ビート,12+,3,100.5805,fcp,,1779,290.4048,sssp,dx,2024-02-20 11:19:48,
1720,Re:Unknown X,14+,3,99.0514,,,3081,302.85956064,ss,dx,2025-11-05 12:12:17,2025-11-03 04:48:00
1576,Cthugha,14,3,96.7574,,sync,2910,230.82445344,aaa,dx,2024-07-19 13:33:26,2024-07-13 03:34:00
1584,コンティニュー！ feat. 藍月なくる,13+,3,100.8111,fc,sync,2525,306.1632,sssp,dx,2024-07-24 17:01:17,2024-07-24 14:59:00
812,Alea jacta est!,14+,4,99.1782,,sync,2832,305.31017088,ss,standard,2024-06-29 12:31:48,2024-06-26 04:52:00
1592,花となれ,12,3,100.9125,ap,fsdp,897,274.6464,sssp,dx,2024-07-24 17:01:17,2024-07-24 15:05:00
1593,私のドッペルゲンガー,13,3,100.0804,fc,fsp,1795,285.34923648,sss,dx,2024-07-24 17:01:17,2024-07-24 15:15:00
1596,Vallista,14,3,100.5083,,,2076,315.168,sssp,dx,2024-06-14 07:48:56,2024-06-12 02:14:00
1596,Vallista,14,3,99.8598,,sync,2028,294.9858492,ssp,dx,2024-06-14 07:48:56,2024-06-12 03:13:00
111355,[協]ラグトレイン,13?,0,193.6669,,sync,3210,0,aaa,utage,2024-06-29 12:31:48,2024-06-26 04:13:00
233,MYTHOS,14,3,99.738,,,1891,303.0439392,ssp,standard,2025-11-05 12:12:17,2025-11-03 05:01:00
1720,Re:Unknown X,14+,3,100.058,fc,,3099,317.7041616,sss,dx,2025-11-05 12:12:17,2025-11-03 04:57:00
1720,Re:Unknown X,14+,3,99.2605,,,3108,303.4989048,ss,dx,2025-11-05 12:12:17,2025-11-03 04:54:00
384,VERTeX,14+,3,99.3157,,,2280,303.66768432,ss,standard,2025-11-05 12:12:17,2025-11-03 04:45:00
1294,宿星審判,14,3,100.3189,,,2914,309.86501832,sss,dx,2025-11-05 12:12:17,2025-11-03 04:42:00
1216,felys -final remix-,14,3,99.8562,,,2921,303.40307808,ssp,dx,2025-11-05 12:12:17,2025-10-31 04:31:00
385,Ignis Danse,14,3,99.8191,,,2623,305.39653645,ssp,standard,2025-11-05 12:12:17,2025-10-31 04:27:00
348,Axeria,14,3,100.0586,,,2355,313.3835352,sss,standard,2025-11-05 12:12:17,2025-10-31 04:24:00
777,花と、雪と、ドラムンベース。,13+,4,97.9191,,,1049,270.256716,s,standard,2025-11-05 12:12:17,2025-10-28 11:14:00
85,JACKY [Remix],13+,3,100.4081,,,1019,297.12764952,sss,standard,2025-11-05 12:12:17,2025-10-28 11:09:00
573,四月の雨,13+,3,99.7376,,,1686,292.52040704,ssp,standard,2025-11-05 12:12:17,2025-10-28 11:03:00
1174,Desperado Waltz,14,3,99.9763,,,2879,299.54899006,ssp,dx,2025-11-05 12:12:17,2025-10-28 10:56:00
1065,Yakumo >>JOINT STRUGGLE (2019 Update),13+,3,100.2559,,,2803,301.00831416,sss,dx,2025-11-05 12:12:17,2025-10-28 10:53:00
460,閃鋼のブリューナク,13+,3,100.6587,,,2655,312.9168,sssp,standard,2025-11-05 12:12:17,2025-10-28 10:49:00
386,Scars of FAUNA,13+,3,99.833,,,2051,290.6937294,ssp,standard,2025-11-05 12:12:17,2025-10-28 10:45:00
776,にじよめちゃん体操第一億,13+,3,99.6753,fc,,1243,290.23453854,ssp,standard,2025-11-05 12:12:17,2025-10-28 10:40:00
1391,WiPE OUT MEMORIES,14+,3,100.3609,,sync,2954,320.83372512,sss,dx,2025-11-05 12:12:17,2025-10-26 08:00:00
1307,Yorugao,14+,3,99.5639,,sync,2408,306.71655034,ssp,dx,2025-11-05 12:12:17,2025-10-26 07:57:00
1392,Metamorphosism,14+,3,99.4723,,sync,2440,304.14650448,ss,dx,2025-11-05 12:12:17,2025-10-26 07:54:00
70,ジングルベル,14+,3,94.2682,,sync,2352,231.22104096,aaa,dx,2025-11-05 12:12:17,2025-10-26 07:51:00
224,ウサテイ,14,3,100.4157,,sync,1749,303.6570768,sss,standard,2025-11-05 12:12:17,2025-10-26 07:22:00
1646,神威,14+,3,100.0681,,sync,3342,315.57476016,sss,dx,2025-11-05 12:12:17,2025-10-26 07:19:00
1237,蒼穹舞楽,13+,3,99.8161,,sync,2345,292.75063969,ssp,dx,2025-11-05 12:12:17,2025-10-26 07:16:00
264,L'épilogue,13+,3,100.6199,,sync,2056,308.4144,sssp,standard,2025-11-05 12:12:17,2025-10-26 06:54:00
